N,2L_Cycles,2L_MinRes,2L_Time,MaxL_Cycles,MaxL_MinRes,MaxL_Time
16,26,6.622106335686026e-08,0.008381366729736328,26,6.622106335686026e-08,0.011895895004272461
32,29,6.019302596060017e-08,0.026889562606811523,50,7.775064633553678e-07,0.040662527084350586
64,30,6.511929524381147e-08,0.09731173515319824,50,0.046263646426788124,0.12482643127441406
128,31,5.452742738334125e-08,0.75148606300354,50,9.373063624356268,0.933870792388916
256,32,5.01122796997595e-08,2.7348437309265137,50,190.64839163043519,3.4748222827911377
